지역,노선명,역명,위도,경도,총_승하차객수,브랜드_밀도,프리미엄_비율,가성비_비율,브랜드_다양성,클러스터
서울,1호선,동대문,37.571646,127.01069,23116,24.0,0.17,0.83,10.0,0
서울,1호선,동묘앞,37.573265,127.016459,19398,13.0,0.0,1.0,5.0,3
서울,1호선,서울역,37.55585,126.972103,137368,27.0,0.44,0.56,12.0,1
서울,1호선,시청,37.565211,126.977207,29260,41.0,0.54,0.46,11.0,1
서울,1호선,신설동,37.576117,127.02471,26474,13.0,0.23,0.77,8.0,0
서울,1호선,제기동,37.578116,127.034902,31308,9.0,0.22,0.78,8.0,0
서울,1호선,종각,37.570203,126.983116,77041,51.0,0.51,0.49,12.0,1
서울,1호선,종로3가,37.570429,126.992095,46893,22.0,0.27,0.73,8.0,0
서울,1호선,종로5가,37.570971,127.0019,45252,26.0,0.31,0.69,12.0,1
서울,1호선,청량리,37.580148,127.045063,45302,15.0,0.27,0.73,8.0,0
서울,2호선,강남,37.49805,127.02795,156545,51.0,0.55,0.45,13.0,1
서울,2호선,강변,37.535161,127.094684,49640,13.0,0.69,0.31,10.0,1
서울,2호선,건대입구,37.540408,127.069231,74558,27.0,0.44,0.56,11.0,1
서울,2호선,교대,37.493957,127.014431,62009,23.0,0.43,0.57,12.0,1
서울,2호선,구로디지털단지,37.4852931,126.901456,107215,23.0,0.22,0.78,10.0,1
서울,2호선,구의,37.537157,127.0862124,53095,19.0,0.21,0.79,9.0,0
서울,2호선,낙성대,37.47713,126.963583,51923,11.0,0.45,0.55,7.0,0
서울,2호선,당산,37.534807,126.902611,36063,17.0,0.41,0.59,9.0,0
서울,2호선,대림,37.4932826,126.8949793,46636,9.0,0.33,0.67,6.0,0
서울,2호선,도림천,37.5145589,126.882586,2632,2.0,0.5,0.5,2.0,2
서울,2호선,동대문역사문화공원,37.565609,127.009083,30414,23.0,0.43,0.57,9.0,0
서울,2호선,뚝섬,37.54718,127.047413,46580,20.0,0.2,0.8,7.0,0
서울,2호선,문래,37.517993,126.894766,44270,21.0,0.29,0.71,8.0,0
서울,2호선,방배,37.481469,126.997627,29215,11.0,0.36,0.64,7.0,0
서울,2호선,봉천,37.482416,126.941696,45293,12.0,0.08,0.92,7.0,3
서울,2호선,사당,37.476536,126.981631,84240,14.0,0.43,0.57,8.0,1
서울,2호선,삼성,37.508827,127.063203,102363,24.0,0.58,0.42,10.0,1
서울,2호선,상왕십리,37.564444,127.029322,26891,10.0,0.4,0.6,6.0,0
서울,2호선,서울대입구,37.481233,126.952745,86070,27.0,0.33,0.67,11.0,1
서울,2호선,서초,37.49191,127.007685,40209,13.0,0.46,0.54,8.0,0
서울,2호선,선릉,37.504477,127.048974,98435,35.0,0.43,0.57,13.0,1
서울,2호선,성수,37.544628,127.055983,103501,17.0,0.24,0.76,9.0,1
서울,2호선,시청,37.563534,126.975271,29260,39.0,0.54,0.46,13.0,1
서울,2호선,신답,37.569847,127.047048,3392,4.0,0.25,0.75,4.0,3
서울,2호선,신당,37.565675,127.0194259,29647,18.0,0.22,0.78,8.0,0
서울,2호선,신대방,37.487604,126.913479,46148,3.0,0.0,1.0,2.0,3
서울,2호선,신도림,37.508815,126.891222,90384,13.0,0.31,0.69,10.0,1
서울,2호선,신림,37.484216,126.929573,104809,25.0,0.32,0.68,12.0,1
서울,2호선,신설동,37.574653,127.025158,7899,14.0,0.21,0.79,8.0,0
