지역,노선명,역명,위도,경도,총_승하차객수,브랜드_밀도,프리미엄_비율,가성비_비율,브랜드_다양성,클러스터
서울,1호선,동대문,37.571646,127.01069,23116,24.0,0.17,0.83,10.0,0
서울,1호선,개봉,37.494698,126.858504,41638,16.0,0.19,0.81,9.0,0
서울,1호선,구일,37.495973,126.869201,13202,6.0,0.0,1.0,5.0,3
서울,1호선,월계,37.633114,127.058835,10957,4.0,0.0,1.0,4.0,3
서울,1호선,오류동,37.4944,126.844551,20517,12.0,0.33,0.67,8.0,0
인천,1호선,간석,37.464689,126.693408,10094,7.0,0.14,0.86,6.0,0
인천,1호선,도원,37.468604,126.642824,5439,3.0,0.0,1.0,3.0,0
인천,1호선,도화,37.466154,126.66846,6773,3.0,0.33,0.67,3.0,0
경기,1호선,중동,37.486664,126.764474,15122,9.0,0.11,0.89,5.0,2
경기,1호선,송내,37.487626,126.753045,45274,17.0,0.29,0.71,10.0,3
경기,1호선,소사,37.482755,126.795654,14236,12.0,0.25,0.75,9.0,0
경기,1호선,부천,37.484066,126.782779,58513,20.0,0.25,0.75,10.0,3
서울,1호선,온수,37.492267,126.823399,10423,3.0,0.33,0.67,3.0,3
서울,1호선,용산,37.52989,126.964775,93127,30.0,0.47,0.53,12.0,1
서울,1호선,외대앞,37.596157,127.063572,20201,14.0,0.36,0.64,9.0,0
서울,1호선,구로,37.503178,126.882037,31723,13.0,0.38,0.62,10.0,0
서울,1호선,금천구청,37.45576,126.894344,19879,10.0,0.3,0.7,6.0,0
경기,1호선,오산대,37.169401,127.063081,6417,9.0,0.22,0.78,6.0,0
경기,1호선,동두천,37.927569,127.054825,2835,0.0,0.0,0.0,0.0,1
경기,1호선,관악,37.419578,126.908476,12650,0.0,0.0,0.0,0.0,1
서울,1호선,회기,37.589602,127.057936,46135,11.0,0.27,0.73,8.0,0
인천,1호선,백운,37.483301,126.707179,12210,3.0,0.0,1.0,3.0,0
서울,1호선,창동,37.653181,127.047663,5,16.0,0.19,0.81,9.0,0
서울,1호선,남영,37.540597,126.971171,17627,16.0,0.38,0.62,8.0,0
서울,1호선,신도림,37.508983,126.891513,7247,13.0,0.31,0.69,10.0,0
서울,1호선,영등포,37.515756,126.907411,84349,23.0,0.48,0.52,10.0,1
서울,1호선,광운대,37.623635,127.061975,14198,12.0,0.33,0.67,7.0,0
서울,1호선,신길,37.517018,126.917743,14829,5.0,0.2,0.8,4.0,3
서울,1호선,녹천,37.644599,127.051406,7417,2.0,0.5,0.5,2.0,2
서울,1호선,도봉,37.679441,127.045521,10497,4.0,0.0,1.0,3.0,3
서울,1호선,도봉산,37.689603,127.046047,11181,3.0,0.33,0.67,3.0,3
경기,1호선,진위,37.109771,127.062342,2714,0.0,0.0,0.0,0.0,1
서울,1호선,방학,37.667471,127.044295,18491,14.0,0.29,0.71,7.0,0
서울,1호선,신이문,37.601829,127.067347,14995,4.0,0.0,1.0,4.0,3
경기,1호선,회룡,37.724037,127.047319,23670,14.0,0.29,0.71,10.0,3
서울,1호선,가산디지털단지,37.481568,126.882628,32001,38.0,0.34,0.66,10.0,1
경기,1호선,청산,37.995138,127.074097,241,0.0,0.0,0.0,0.0,1
경기,1호선,전곡,38.024041,127.071913,2140,7.0,0.14,0.86,7.0,2
서울,1호선,대방,37.513392,126.926407,19484,6.0,0.33,0.67,5.0,3
경기,1호선,의왕,37.320648,126.948099,16103,4.0,0.0,1.0,2.0,2
서울,1호선,독산,37.465994,126.889508,29846,10.0,0.2,0.8,7.0,3
경기,1호선,역곡,37.48514,126.811622,45474,12.0,0.17,0.83,8.0,3
서울,1호선,노량진,37.514072,126.941671,17426,19.0,0.32,0.68,9.0,0
경기,1호선,오산,37.145472,127.066708,19285,6.0,0.33,0.67,5.0,0
인천,1호선,동암,37.470835,126.703016,27880,8.0,0.25,0.75,6.0,1
서울,1호선,석계,37.615206,127.065594,14098,9.0,0.22,0.78,5.0,3
경기,1호선,소요산,37.948608,127.061007,3110,1.0,0.0,1.0,1.0,2
경기,1호선,평택,36.990559,127.085496,23452,12.0,0.58,0.42,11.0,3
경기,1호선,당정,37.34338,126.948388,10323,6.0,0.17,0.83,4.0,2
경기,1호선,병점,37.206821,127.033268,26986,15.0,0.2,0.8,8.0,3
경기,1호선,서동탄,37.195675,127.051893,2390,1.0,1.0,0.0,1.0,0
경기,1호선,서정리,37.056459,127.052844,14857,8.0,0.12,0.88,5.0,2
경기,1호선,석수,37.435161,126.902233,14051,3.0,0.33,0.67,2.0,2
경기,1호선,성균관대,37.300344,126.970861,27146,11.0,0.36,0.64,8.0,3
경기,1호선,세류,37.244102,127.013772,6198,4.0,0.5,0.5,3.0,0
경기,1호선,세마,37.187288,127.043279,5962,6.0,0.17,0.83,5.0,2
경기,1호선,명학,37.384435,126.935579,14380,10.0,0.3,0.7,9.0,0
경기,1호선,평택지제,37.018822,127.070269,7994,2.0,0.0,1.0,2.0,2
경기,1호선,화서,37.28399,126.989581,20584,8.0,0.62,0.38,6.0,0
경기,1호선,가능,37.748362,127.044251,11196,5.0,0.2,0.8,4.0,2
경기,1호선,의정부,37.73873,127.045891,35898,25.0,0.48,0.52,12.0,3
경기,1호선,연천,38.100485,127.07368,1660,4.0,0.0,1.0,4.0,2
인천,1호선,주안,37.465041,126.680702,30696,21.0,0.33,0.67,13.0,1
인천,1호선,제물포,37.466809,126.657165,17857,8.0,0.38,0.62,6.0,1
인천,1호선,인천,37.476364,126.616936,5641,5.0,0.0,1.0,4.0,0
경기,1호선,양주,37.774281,127.044719,12163,1.0,0.0,1.0,1.0,2
경기,1호선,금정,37.371957,126.943411,51937,15.0,0.33,0.67,9.0,3
경기,1호선,군포,37.353732,126.948517,11885,5.0,0.0,1.0,3.0,2
경기,1호선,송탄,37.075376,127.054397,7920,4.0,0.5,0.5,4.0,0
경기,1호선,광명,37.415995,126.884523,6602,11.0,0.45,0.55,8.0,0
경기,1호선,보산,37.914268,127.057134,2667,2.0,0.0,1.0,2.0,2
