역번호,지역,노선명,철도운영기관,역명,주소,위도,경도,1월 승차이용객수,1월 하차이용객수
0097,경기,1호선,한국철도공사,연천,경기도 연천군 연천읍 연천로 273-7(차탄리),38.100485,127.07368,851,809
0098,경기,1호선,한국철도공사,전곡,경기도 연천군 전곡읍 전곡역로 75(전곡리),38.024041,127.071913,1114,1026
0099,경기,1호선,한국철도공사,청산,경기도 연천군 청산면 초성리 170-1,37.995138,127.074097,133,108
0100,경기,1호선,한국철도공사,소요산,경기도 동두천시 평화로 2925(상봉암동 126),37.948608,127.061007,1548,1562
0101,경기,1호선,한국철도공사,동두천,경기도 동두천시 평화로 2687(동두천동 245-210),37.927569,127.054825,1438,1397
0102,경기,1호선,한국철도공사,보산,경기도 동두천시 평화로 2539(보산동),37.914268,127.057134,1366,1301
0103,경기,1호선,한국철도공사,동두천중앙,경기도 동두천시 동두천로 228(생연동 682),37.901818,127.056528,2533,2438
0104,경기,1호선,한국철도공사,지행,경기도 동두천시 평화로 2285(지행동),37.892361,127.055734,5733,5750
0105,경기,1호선,한국철도공사,덕정,경기도 양주시 화합로 1356,37.843216,127.061511,5198,4910
0106,경기,1호선,한국철도공사,덕계,경기도 양주시 고덕로 139번길 317,37.818761,127.056676,5594,5253
0107,경기,1호선,한국철도공사,양주,경기도 양주시 평화로 919(남방동 94-1),37.774281,127.044719,6192,5971
0108,경기,1호선,한국철도공사,녹양,경기도 의정부시 평화로 757(녹양동 973),37.759416,127.042272,3873,3714
0109,경기,1호선,한국철도공사,가능,경기도 의정부시 평화로 633,37.748362,127.044251,5693,5503
0110,경기,1호선,한국철도공사,의정부,경기도 의정부시 평화로 525,37.73873,127.045891,17846,18052
0111,경기,1호선,한국철도공사,회룡,경기도 의정부시 평화로 363,37.724037,127.047319,11964,11706
0112,경기,1호선,한국철도공사,망월사,경기도 의정부시 평화로 221,37.710499,127.047361,6786,6896
0113,서울,1호선,한국철도공사,도봉산,서울시 도봉구 도봉로 964-33,37.689603,127.046047,6795,4386
0114,서울,1호선,한국철도공사,도봉,서울시 도봉구 도봉로 170길 2,37.679441,127.045521,5360,5137
0115,서울,1호선,한국철도공사,방학,서울시 도봉구 도봉로 150다길 3,37.667471,127.044295,9337,9154
0116,서울,1호선,한국철도공사,창동,서울시 도봉구 마들로 11길 77(창1동 135-86),37.653181,127.047663,5,0
0117,서울,1호선,한국철도공사,녹천,서울시 도봉구 덕릉로 376(창동),37.644599,127.051406,4001,3416
